"","beta","HR (95% CI for HR)","wald.test","p.value"
"G6491","0.48","1.6 (1.1-2.3)","7.2","0.0071"
"G30846","-0.43","0.65 (0.41-1)","3.3","0.071"
"G6819","0.046","1 (0.82-1.3)","0.14","0.71"
"G10675","-0.002","1 (0.75-1.3)","0","0.99"
"G580","0.52","1.7 (0.89-3.2)","2.6","0.11"
"G6483","-0.28","0.75 (0.27-2.1)","0.3","0.58"
"G11013","0.19","1.2 (0.76-1.9)","0.64","0.42"
"G2769","0.71","2 (1.2-3.4)","7.2","0.0072"
"G2677","-0.058","0.94 (0.57-1.6)","0.05","0.82"
"G5274","0.65","1.9 (1.1-3.4)","5.3","0.022"
"G5037","-0.0031","1 (0.46-2.1)","0","0.99"
"G36","-0.75","0.47 (0.33-0.68)","17","4.4e-05"
"G8975","-0.34","0.72 (0.44-1.2)","1.8","0.18"
"G185","-0.58","0.56 (0.42-0.75)","16","8.1e-05"
"G2891","-0.24","0.79 (0.53-1.2)","1.4","0.23"
"G9472","0.015","1 (0.65-1.6)","0","0.95"
"G5203","0.052","1.1 (0.53-2.1)","0.02","0.88"
"G8424","0.13","1.1 (0.9-1.4)","1.2","0.28"
"G8309","-0.24","0.79 (0.51-1.2)","1.2","0.28"
"G3216","0.35","1.4 (0.86-2.3)","1.9","0.17"
"G10603","-0.044","0.96 (0.4-2.3)","0.01","0.92"
"G9715","-0.16","0.85 (0.64-1.1)","1.3","0.25"
"G1629","-0.48","0.62 (0.25-1.5)","1.1","0.29"
"G5324","-0.24","0.79 (0.57-1.1)","2","0.15"
"G1496","0.1","1.1 (0.82-1.5)","0.47","0.49"
"G6588","0.063","1.1 (0.84-1.4)","0.26","0.61"
"G4188","-0.66","0.52 (0.28-0.94)","4.6","0.032"
"G43","0.23","1.3 (0.79-2)","0.93","0.33"
"G874","0.13","1.1 (0.78-1.7)","0.47","0.49"
"G5174","-0.041","0.96 (0.71-1.3)","0.08","0.78"
"G10234","-0.25","0.78 (0.54-1.1)","1.7","0.19"
"G1675","-0.26","0.77 (0.59-1)","3.6","0.058"
"G26137","-0.77","0.46 (0.28-0.76)","9.1","0.0026"
"G5348","-0.31","0.73 (0.59-0.91)","8.2","0.0041"
"G4193","-0.41","0.66 (0.4-1.1)","2.5","0.11"
"G1082","0.23","1.3 (0.94-1.7)","2.4","0.12"
"G93659","0.23","1.3 (0.94-1.7)","2.4","0.12"
"G94027","-0.23","0.79 (0.54-1.2)","1.4","0.24"
"G94115","0.23","1.3 (0.94-1.7)","2.4","0.12"
"G114335","0.18","1.2 (0.75-1.9)","0.57","0.45"
"G7125","0.32","1.4 (1.1-1.8)","7.1","0.0076"
"G286","0.5","1.7 (1.2-2.2)","11","0.0012"
"G6358","-0.21","0.81 (0.65-1)","3.3","0.069"
"G348249","0.068","1.1 (0.85-1.4)","0.32","0.57"
"G1111","0.56","1.7 (1.2-2.5)","8.6","0.0034"
"G4361","0.039","1 (0.44-2.5)","0.01","0.93"
"G4088","0.62","1.9 (0.78-4.4)","2","0.16"
"G9201","0.12","1.1 (0.79-1.6)","0.42","0.52"
"G7454","0.01","1 (0.57-1.8)","0","0.97"
"G8540","1.1","3.1 (1.2-7.7)","5.8","0.016"
"G5645","0.34","1.4 (1.2-1.6)","17","3.3e-05"
"G7850","0.36","1.4 (1.2-1.7)","12","0.00047"
"G3290","0.099","1.1 (0.73-1.7)","0.22","0.64"
"G9037","0.054","1.1 (0.71-1.6)","0.07","0.79"
"G53340","0.29","1.3 (0.86-2.1)","1.6","0.2"
"G2355","0.38","1.5 (1-2.2)","3.8","0.052"
"G493","0.072","1.1 (0.5-2.3)","0.03","0.85"
"G744","-0.12","0.89 (0.63-1.3)","0.44","0.51"
"G9912","-0.99","0.37 (0.25-0.55)","25","6.5e-07"
"G4287","-1.9","0.15 (0.067-0.35)","20","9.3e-06"
"G1605","0.45","1.6 (0.52-4.7)","0.65","0.42"
"G2242","-0.67","0.51 (0.19-1.4)","1.8","0.18"
"G1880","-0.071","0.93 (0.68-1.3)","0.2","0.66"
"G5191","-0.42","0.65 (0.35-1.2)","1.8","0.18"
"G6581","-0.47","0.63 (0.48-0.82)","11","0.00077"
"G162","1.2","3.5 (1.7-7.1)","11","0.00071"
"G9755","0.33","1.4 (0.88-2.2)","2","0.16"
"G6940","-0.91","0.4 (0.19-0.84)","5.9","0.015"
"G794","0.036","1 (0.64-1.7)","0.02","0.88"
"G653","-0.26","0.77 (0.56-1.1)","2.4","0.12"
"G5016","-0.4","0.67 (0.38-1.2)","1.9","0.17"
"G590","-0.22","0.8 (0.7-0.92)","9.6","0.002"
"G22848","-0.68","0.51 (0.2-1.3)","2","0.15"
"G3014","0.47","1.6 (0.83-3.1)","2","0.16"
"G10520","-0.71","0.49 (0.26-0.94)","4.6","0.031"
"G2953","-0.24","0.79 (0.61-1)","3.4","0.066"
"G4886","-0.13","0.88 (0.74-1.1)","1.9","0.17"
"G79629","-0.13","0.88 (0.45-1.7)","0.15","0.7"
"G6617","0.53","1.7 (1-2.9)","3.9","0.048"
"G487","0.029","1 (0.66-1.6)","0.02","0.9"
"G5617","-0.13","0.87 (0.63-1.2)","0.67","0.41"
"G7786","0.0061","1 (0.37-2.7)","0","0.99"
"G29901","0.036","1 (0.63-1.7)","0.02","0.89"
"G5255","0.29","1.3 (0.79-2.3)","1.2","0.28"
"G4303","0.24","1.3 (0.67-2.4)","0.52","0.47"
"G9488","-0.54","0.58 (0.23-1.5)","1.2","0.26"
"G3212","0.31","1.4 (0.97-1.9)","3.1","0.078"
"G3208","0.45","1.6 (0.92-2.7)","2.7","0.099"
"G4486","-0.12","0.89 (0.5-1.6)","0.16","0.69"
"G916","0.69","2 (1-3.9)","4.1","0.042"
"G64771","0.87","2.4 (0.98-5.9)","3.7","0.055"
"G4157","0.32","1.4 (0.78-2.4)","1.2","0.27"
"G4862","0.37","1.4 (0.92-2.3)","2.6","0.11"
"G11021","1.3","3.8 (1.4-10)","6.9","0.0084"
"G3241","-0.25","0.78 (0.43-1.4)","0.72","0.4"
"G5154","0.41","1.5 (0.77-2.9)","1.5","0.23"
"G6338","-0.17","0.84 (0.62-1.1)","1.2","0.28"
"G9957","0.38","1.5 (1.1-2)","6","0.014"
"G843","0.069","1.1 (0.55-2.1)","0.04","0.84"
"G3663","0.61","1.8 (0.89-3.8)","2.7","0.098"
"G11012","0.041","1 (0.84-1.3)","0.14","0.7"
"G1602","-0.49","0.61 (0.45-0.83)","9.7","0.0018"
"G51379","0.23","1.3 (0.46-3.4)","0.21","0.65"
"G11341","0.16","1.2 (0.75-1.8)","0.47","0.49"
"G6364","0.37","1.4 (1.2-1.7)","19","1e-05"
"G259","0.2","1.2 (0.88-1.7)","1.4","0.23"
"G5502","0.022","1 (0.76-1.4)","0.02","0.88"
"G5328","0.58","1.8 (1.4-2.3)","18","2.3e-05"
"G7360","1.5","4.5 (1.1-19)","4.4","0.036"
"G134","-0.81","0.44 (0.19-1)","3.5","0.062"
"G29907","0.83","2.3 (0.58-9.1)","1.4","0.24"
"G9636","0.33","1.4 (1.1-1.8)","7.1","0.0076"
"G27240","0.07","1.1 (0.7-1.6)","0.11","0.74"
"G6261","0.2","1.2 (0.92-1.6)","2","0.16"
"G10420","-0.41","0.67 (0.29-1.5)","0.94","0.33"
"G51442","0.12","1.1 (0.86-1.5)","0.78","0.38"
"G3001","0.23","1.3 (0.89-1.8)","1.6","0.2"
"G1428","-0.25","0.78 (0.63-0.97)","5.1","0.024"
"G2707","0.48","1.6 (1.2-2.2)","9.9","0.0016"
"G10570","-0.21","0.81 (0.48-1.4)","0.64","0.42"
"G55565","0.55","1.7 (0.89-3.4)","2.6","0.11"
"G10578","0.25","1.3 (1-1.6)","4.8","0.029"
"G7728","-1.5","0.23 (0.1-0.51)","13","3e-04"
"G2690","-0.31","0.74 (0.54-1)","3.6","0.057"
"G27286","0.33","1.4 (0.95-2)","2.9","0.089"
"G727","-0.18","0.83 (0.66-1)","2.6","0.11"
"G10846","0.18","1.2 (0.71-2)","0.47","0.49"
"G5784","-1","0.37 (0.19-0.72)","8.6","0.0034"
"G695","0.19","1.2 (0.7-2.1)","0.48","0.49"
"G2650","0.58","1.8 (1.2-2.6)","8.9","0.0029"
"G22899","-0.85","0.43 (0.21-0.88)","5.4","0.02"
"G6324","0.4","1.5 (0.72-3.1)","1.2","0.28"
"G1360","0.18","1.2 (0.97-1.5)","2.9","0.087"
"G55056","-1.3","0.27 (0.13-0.55)","13","0.00034"
"G9131","0.62","1.9 (0.98-3.5)","3.6","0.057"
"G6947","0.18","1.2 (1.1-1.3)","15","9.6e-05"
"G55786","-0.19","0.82 (0.53-1.3)","0.72","0.4"
"G8492","-0.068","0.93 (0.75-1.2)","0.36","0.55"
"G25792","0.43","1.5 (0.85-2.8)","2","0.16"
"G79968","0.078","1.1 (0.59-2)","0.06","0.8"
"G9941","0.17","1.2 (0.68-2)","0.35","0.55"
"G1404","0.15","1.2 (0.92-1.5)","1.6","0.2"
"G11104","0.54","1.7 (0.54-5.5)","0.83","0.36"
"G50628","-0.98","0.38 (0.16-0.86)","5.4","0.02"
"G2110","-0.32","0.72 (0.33-1.6)","0.64","0.42"
"G1004","-0.18","0.83 (0.51-1.4)","0.54","0.46"
"G5099","0.35","1.4 (1.1-1.9)","5.6","0.018"
"G7410","-0.017","0.98 (0.48-2)","0","0.96"
"G7464","0.47","1.6 (0.88-2.9)","2.4","0.12"
"G10677","-0.11","0.89 (0.6-1.3)","0.31","0.58"
"G10325","0.17","1.2 (0.59-2.4)","0.24","0.62"
"G23708","0.041","1 (0.67-1.6)","0.03","0.86"
"G26872","0.25","1.3 (1-1.6)","4.8","0.029"
"G1380","0.094","1.1 (0.85-1.4)","0.51","0.47"
"G22826","0.68","2 (0.38-10)","0.65","0.42"
"G7297","0.34","1.4 (0.54-3.7)","0.49","0.48"
"G5121","0.2","1.2 (1.1-1.4)","8.6","0.0034"
"G9577","0.67","2 (0.71-5.4)","1.7","0.19"
"G9899","0.16","1.2 (0.71-1.9)","0.38","0.54"
"G8048","0.022","1 (0.67-1.6)","0.01","0.92"
"G4488","0.32","1.4 (0.84-2.3)","1.6","0.21"
"G7189","-1.2","0.29 (0.09-0.97)","4.1","0.044"
"G5125","-0.21","0.81 (0.53-1.2)","0.92","0.34"
"G10557","1.5","4.4 (1.5-13)","7.5","0.0061"
"G3814","0.46","1.6 (1.1-2.3)","6.2","0.013"
"G9506","0.19","1.2 (0.81-1.8)","0.84","0.36"
"G2395","0.14","1.2 (0.53-2.5)","0.13","0.72"
"G11057","-0.13","0.88 (0.47-1.7)","0.15","0.69"
"G8534","0.13","1.1 (0.72-1.8)","0.32","0.57"
"G366","0.32","1.4 (1-1.8)","5.1","0.024"
"G27074","-0.21","0.81 (0.64-1)","2.9","0.087"
"G5305","0.93","2.5 (1.1-6.1)","4.3","0.038"
"G51601","-1.8","0.16 (0.054-0.47)","11","0.00087"
"G285","0.2","1.2 (0.89-1.7)","1.6","0.21"
"G51375","1.1","2.9 (1.8-4.8)","17","3e-05"
"G10882","0.087","1.1 (0.63-1.9)","0.1","0.75"
"G3053","-0.0081","0.99 (0.89-1.1)","0.02","0.88"
"G5837","-0.24","0.79 (0.62-1)","3.9","0.048"
"G4920","0.33","1.4 (1-1.9)","3.9","0.048"
"G3269","0.37","1.5 (0.88-2.4)","2.2","0.14"
"G4846","0.073","1.1 (0.76-1.5)","0.17","0.68"
"G2687","0.053","1.1 (0.87-1.3)","0.28","0.6"
"G79868","-0.64","0.53 (0.2-1.4)","1.6","0.2"
"G2120","1.5","4.3 (1.7-11)","9.2","0.0025"
"G7425","-0.3","0.74 (0.48-1.1)","1.9","0.17"
"G4634","0.14","1.2 (0.86-1.5)","0.9","0.34"
"G10125","0.06","1.1 (0.67-1.7)","0.07","0.8"
"G10439","-0.48","0.62 (0.43-0.88)","7.1","0.0077"
"G5152","-0.29","0.75 (0.5-1.1)","1.9","0.16"
"G22834","0.73","2.1 (0.71-6.1)","1.8","0.18"
"G1830","0.1","1.1 (0.85-1.5)","0.58","0.45"
"G64750","-0.7","0.5 (0.23-1.1)","3.3","0.068"
"G10293","0.19","1.2 (0.96-1.5)","2.7","0.1"
"G7185","0.14","1.1 (0.53-2.5)","0.12","0.73"
"G3215","0.24","1.3 (0.6-2.7)","0.39","0.53"
"G5676","-0.091","0.91 (0.7-1.2)","0.45","0.5"
"G1730","-0.086","0.92 (0.57-1.5)","0.13","0.72"
"G3235","-0.19","0.83 (0.53-1.3)","0.65","0.42"
"G4040","-0.57","0.57 (0.29-1.1)","2.8","0.095"
"G57147","-1.1","0.35 (0.15-0.78)","6.4","0.011"
"G8736","0.16","1.2 (0.84-1.7)","0.89","0.35"
"G8742","-0.48","0.62 (0.45-0.85)","8.9","0.0029"
"G407977","-0.54","0.59 (0.29-1.2)","2.3","0.13"
"G22915","-0.39","0.67 (0.53-0.87)","9.5","0.0021"
"G51760","-0.076","0.93 (0.63-1.4)","0.15","0.7"
"G4485","-0.25","0.78 (0.6-1)","3.2","0.072"
"G1357","0.029","1 (0.79-1.3)","0.05","0.83"
"G26290","0.15","1.2 (0.71-1.9)","0.35","0.55"
"G5639","0.067","1.1 (0.72-1.6)","0.11","0.74"
"G5638","0.14","1.2 (0.7-1.9)","0.32","0.57"
"G4222","-0.28","0.75 (0.56-1)","3.4","0.064"
"G2159","-0.29","0.75 (0.5-1.1)","2.2","0.14"
"G8846","0.006","1 (0.37-2.7)","0","0.99"
"G6610","0.47","1.6 (0.82-3.1)","1.9","0.17"
"G218","-0.17","0.84 (0.69-1)","2.6","0.11"
"G1359","-0.26","0.77 (0.6-0.98)","4.4","0.036"
"G793","0.075","1.1 (0.79-1.5)","0.22","0.64"
"G978","0.2","1.2 (1.1-1.4)","7.9","0.0049"
"G1392","-0.43","0.65 (0.46-0.91)","6.4","0.012"
"G9786","0.68","2 (0.76-5.1)","1.9","0.16"
"G8395","-0.19","0.83 (0.53-1.3)","0.68","0.41"
"G211","0.22","1.2 (0.65-2.4)","0.45","0.5"
"G254359","1.4","4 (1.5-11)","7.7","0.0056"
"G8997","-0.31","0.74 (0.34-1.6)","0.59","0.44"
"G6457","-0.3","0.74 (0.47-1.2)","1.6","0.21"
"G577","-0.52","0.6 (0.46-0.78)","15","0.00012"
"G313","0.32","1.4 (0.76-2.5)","1.1","0.29"
"G11064","-0.65","0.52 (0.26-1)","3.4","0.066"
"G5521","0.38","1.5 (0.73-2.9)","1.1","0.29"
"G6637","2.2","8.7 (3.4-22)","20","7.9e-06"
"G9185","-0.22","0.81 (0.54-1.2)","1.2","0.28"
"G5080","-0.23","0.8 (0.6-1.1)","2.5","0.11"
"G5893","-0.76","0.47 (0.24-0.89)","5.4","0.02"
"G7472","0.16","1.2 (0.83-1.7)","0.78","0.38"
"G2243","0.086","1.1 (0.89-1.3)","0.69","0.41"
"G11069","-0.9","0.4 (0.25-0.66)","14","0.00023"
"G25809","-0.31","0.73 (0.33-1.6)","0.57","0.45"
"G1511","-0.32","0.73 (0.54-0.97)","4.6","0.031"
"G722","-0.16","0.85 (0.74-0.98)","4.9","0.027"
"G4194","-1.7","0.19 (0.082-0.43)","15","9.1e-05"
"G27253","-0.27","0.76 (0.51-1.1)","1.8","0.18"
"G23498","1.4","4.3 (1.9-9.4)","13","0.00033"
"G6621","-0.018","0.98 (0.5-1.9)","0","0.96"
"G8638","0.56","1.8 (1.1-2.7)","6.5","0.011"
"G80308","0.49","1.6 (0.92-2.9)","2.9","0.091"
"G27077","-0.21","0.81 (0.49-1.4)","0.65","0.42"
"G54039","-0.26","0.77 (0.51-1.1)","1.7","0.2"
"G22944","-0.23","0.79 (0.46-1.4)","0.71","0.4"
"G10867","-0.1","0.9 (0.43-1.9)","0.07","0.79"
"G2326","0.42","1.5 (1.1-2)","7.9","0.0049"
"G7486","0.78","2.2 (1-4.6)","4.3","0.039"
"G4685","-0.0019","1 (0.73-1.4)","0","0.99"
"G9514","-0.18","0.83 (0.68-1)","3","0.083"
"G7507","-0.46","0.63 (0.28-1.4)","1.3","0.26"
"G140462","-0.37","0.69 (0.47-1)","3.7","0.053"
"G4547","-0.11","0.89 (0.72-1.1)","1.1","0.29"
"G1594","0.26","1.3 (0.96-1.8)","2.9","0.086"
"G10301","-0.38","0.68 (0.36-1.3)","1.4","0.24"
"G4319","0.2","1.2 (1-1.5)","4.2","0.04"
"G597","0.3","1.4 (0.94-2)","2.6","0.1"
"G55937","-0.02","0.98 (0.54-1.8)","0","0.95"
"G7177","-0.25","0.78 (0.6-1)","3.6","0.058"
"G55667","-0.57","0.57 (0.2-1.6)","1.2","0.27"
"G942","0.72","2 (1.2-3.4)","8","0.0048"
"G56061","0.91","2.5 (1.3-4.9)","6.9","0.0087"
"G7023","0.039","1 (0.77-1.4)","0.07","0.8"
"G8896","0.35","1.4 (0.72-2.8)","1","0.32"
"G9143","0.29","1.3 (1.1-1.7)","5.8","0.016"
"G952","0.17","1.2 (0.92-1.5)","1.7","0.19"
"G7306","-0.44","0.65 (0.52-0.81)","15","0.00013"
"G2674","-0.45","0.64 (0.49-0.83)","11","0.001"
"G10590","-0.056","0.95 (0.72-1.2)","0.17","0.68"
"G5608","-0.063","0.94 (0.56-1.6)","0.05","0.81"
"G8630","-0.24","0.79 (0.66-0.94)","6.8","0.0089"
"G10526","0.55","1.7 (0.63-4.8)","1.1","0.29"
"G10745","0.11","1.1 (0.5-2.5)","0.07","0.8"
"G22852","-0.18","0.84 (0.32-2.2)","0.14","0.71"
"G23765","0.061","1.1 (0.35-3.3)","0.01","0.92"
"G7226","0.43","1.5 (0.87-2.7)","2.2","0.14"
"G1040","-0.31","0.73 (0.42-1.3)","1.2","0.27"
"G4036","-0.096","0.91 (0.72-1.1)","0.7","0.4"
"G509","1.6","4.7 (1.5-15)","7","0.008"
"G5789","-0.21","0.81 (0.54-1.2)","1.1","0.3"
"G1311","0.099","1.1 (0.92-1.3)","1.1","0.3"
"G51364","-0.21","0.81 (0.62-1)","2.6","0.11"
"G683","0.38","1.5 (0.82-2.6)","1.7","0.19"
"G55972","0.63","1.9 (1-3.5)","4.1","0.043"
"G5098","0.39","1.5 (0.62-3.5)","0.8","0.37"
"G8641","-0.11","0.9 (0.47-1.7)","0.11","0.74"
"G9708","-0.38","0.68 (0.36-1.3)","1.4","0.24"
"G26025","0.2","1.2 (0.63-2.4)","0.35","0.55"
"G56097","-0.1","0.9 (0.42-1.9)","0.07","0.8"
"G56098","0.21","1.2 (0.58-2.6)","0.29","0.59"
"G56100","-0.17","0.84 (0.45-1.6)","0.28","0.59"
"G56101","-0.12","0.88 (0.42-1.9)","0.1","0.75"
"G56102","-0.11","0.9 (0.47-1.7)","0.11","0.74"
"G56103","-0.11","0.9 (0.47-1.7)","0.11","0.74"
"G56104","-0.11","0.9 (0.47-1.7)","0.11","0.74"
"G56105","0.3","1.3 (0.66-2.7)","0.69","0.41"
"G56106","-0.045","0.96 (0.53-1.7)","0.02","0.88"
"G56107","0.11","1.1 (0.54-2.3)","0.09","0.77"
"G56108","-0.11","0.9 (0.47-1.7)","0.11","0.74"
"G56109","0.2","1.2 (0.63-2.4)","0.35","0.55"
"G56110","0.2","1.2 (0.63-2.4)","0.35","0.55"
"G56112","-0.077","0.93 (0.48-1.8)","0.05","0.82"
"G56113","-0.11","0.9 (0.47-1.7)","0.11","0.74"
"G56114","-0.18","0.83 (0.41-1.7)","0.26","0.61"
"G3695","0.35","1.4 (0.87-2.3)","2","0.16"
"G5053","-0.37","0.69 (0.4-1.2)","1.8","0.18"
"G101929036","-0.37","0.69 (0.4-1.2)","1.8","0.18"
"G5443","-0.065","0.94 (0.7-1.3)","0.18","0.67"
"G2675","-0.38","0.69 (0.51-0.93)","6","0.015"
"G1271","-0.96","0.38 (0.18-0.8)","6.4","0.011"
"G5317","0.22","1.2 (1-1.5)","4.2","0.04"
"G7356","-0.1","0.9 (0.83-0.98)","6","0.014"
"G7011","-0.62","0.54 (0.21-1.4)","1.7","0.2"
"G22885","0.036","1 (0.74-1.5)","0.04","0.84"
"G10499","-0.86","0.42 (0.17-1)","3.5","0.061"
"G641","0.63","1.9 (1.1-3.1)","5.9","0.015"
"G5224","-0.14","0.87 (0.66-1.2)","0.95","0.33"
"G3785","0.39","1.5 (0.88-2.5)","2.2","0.14"
"G2170","0.13","1.1 (0.88-1.5)","1","0.31"
"G79171","0.87","2.4 (1.5-3.8)","14","0.00019"
"G1837","-0.54","0.58 (0.33-1)","3.5","0.062"
"G7137","-0.22","0.8 (0.6-1.1)","2.3","0.13"
"G6769","0.017","1 (0.65-1.6)","0.01","0.94"
"G8448","0.06","1.1 (0.87-1.3)","0.35","0.55"
"G6868","0.86","2.4 (0.98-5.6)","3.7","0.055"
"G869","0.025","1 (0.79-1.3)","0.04","0.85"
"G55658","0.62","1.9 (0.52-6.7)","0.91","0.34"
"G1543","-0.12","0.89 (0.67-1.2)","0.71","0.4"
"G670","-0.13","0.88 (0.51-1.5)","0.22","0.64"
"G6456","-0.047","0.95 (0.77-1.2)","0.18","0.67"
"G2949","-0.59","0.56 (0.37-0.84)","7.6","0.0059"
"G1401","-0.64","0.53 (0.33-0.83)","7.5","0.0062"
"G2147","0.036","1 (0.76-1.4)","0.05","0.82"
"G3699","-0.24","0.79 (0.59-1.1)","2.5","0.12"
"G2157","-0.29","0.75 (0.45-1.3)","1.2","0.28"
"G925","-0.069","0.93 (0.66-1.3)","0.15","0.7"
"G6820","0.28","1.3 (0.83-2.1)","1.4","0.23"
"G11062","-0.28","0.76 (0.38-1.5)","0.59","0.44"
"G8886","0.7","2 (0.61-6.6)","1.3","0.25"
"G1577","-0.074","0.93 (0.74-1.2)","0.4","0.53"
"G8557","-0.64","0.53 (0.37-0.75)","13","0.00035"
"G11001","0.36","1.4 (1.1-1.8)","8.5","0.0036"
"G2936","0.42","1.5 (0.92-2.5)","2.6","0.1"
"G9465","-1.7","0.18 (0.09-0.38)","21","4.6e-06"
"G2161","0.88","2.4 (1.5-3.9)","13","0.00039"
"G26240","-0.59","0.55 (0.33-0.93)","4.9","0.027"
"G1852","0.14","1.2 (0.84-1.6)","0.75","0.39"
"G5650","0.16","1.2 (0.96-1.4)","2.5","0.11"
"G10266","-0.086","0.92 (0.56-1.5)","0.11","0.74"
"G638","0.24","1.3 (0.95-1.7)","2.6","0.11"
"G9605","-0.72","0.49 (0.25-0.93)","4.7","0.029"
"G26085","-0.043","0.96 (0.56-1.6)","0.02","0.88"
"G3684","0.39","1.5 (0.94-2.3)","2.9","0.088"
"G912","0.13","1.1 (0.73-1.8)","0.35","0.55"
"G8631","0.25","1.3 (0.72-2.3)","0.72","0.4"
"G8839","-0.1","0.9 (0.67-1.2)","0.43","0.51"
"G8711","-0.2","0.82 (0.43-1.6)","0.37","0.54"
"G4857","0.0075","1 (0.7-1.4)","0","0.97"
"G9369","-0.013","0.99 (0.75-1.3)","0.01","0.93"
"G55346","0.57","1.8 (0.9-3.5)","2.7","0.098"
"G3575","-0.1","0.9 (0.61-1.3)","0.26","0.61"
"G6519","-0.16","0.85 (0.57-1.3)","0.64","0.42"
"G25780","0.55","1.7 (1.1-2.7)","5.6","0.017"
"G7220","-0.25","0.78 (0.51-1.2)","1.3","0.25"
"G80342","-0.29","0.75 (0.47-1.2)","1.4","0.23"
"G4919","-0.056","0.95 (0.57-1.6)","0.05","0.83"
"G6094","-0.099","0.91 (0.66-1.2)","0.38","0.54"
"G7286","0.71","2 (1.2-3.3)","7.8","0.0052"
"G444","0.16","1.2 (0.68-2)","0.31","0.58"
"G8976","-0.17","0.84 (0.4-1.8)","0.2","0.65"
"G11232","-0.43","0.65 (0.25-1.7)","0.79","0.37"
"G54732","1.1","3 (0.94-9.8)","3.4","0.064"
"G4143","0.18","1.2 (0.96-1.5)","2.5","0.11"
"G2913","-0.34","0.71 (0.53-0.95)","5.3","0.022"
"G5068","-0.15","0.86 (0.59-1.3)","0.57","0.45"
"G6495","0.31","1.4 (1-1.8)","4.4","0.035"
"G8685","0.018","1 (0.83-1.2)","0.03","0.86"
"G345","0.012","1 (0.64-1.6)","0","0.96"
"G3157","0.3","1.4 (0.8-2.3)","1.2","0.26"
"G3316","-0.58","0.56 (0.34-0.92)","5.3","0.022"
"G5122","0.11","1.1 (0.9-1.4)","1","0.32"
"G9172","-0.2","0.82 (0.58-1.2)","1.3","0.25"
"G885","0.11","1.1 (0.9-1.4)","1","0.31"
"G4314","0.19","1.2 (1-1.4)","4.3","0.039"
"G3292","0.26","1.3 (0.63-2.7)","0.52","0.47"
"G1047","0.047","1 (0.85-1.3)","0.19","0.66"
"G914","-0.0018","1 (0.68-1.5)","0","0.99"
"G51200","0.29","1.3 (0.69-2.6)","0.73","0.39"
"G25859","-0.091","0.91 (0.57-1.5)","0.15","0.7"
"G9256","-0.34","0.71 (0.44-1.1)","2","0.15"
"G1384","-0.21","0.81 (0.44-1.5)","0.44","0.51"
"G8912","-0.67","0.51 (0.3-0.87)","6.1","0.014"
"G64063","0.91","2.5 (1.2-5.2)","5.9","0.015"
"G2620","-0.32","0.73 (0.55-0.97)","4.8","0.028"
"G7381","-0.61","0.54 (0.22-1.4)","1.7","0.19"
"G10201","-1.5","0.23 (0.084-0.65)","7.8","0.0054"
"G8941","-0.015","0.98 (0.79-1.2)","0.02","0.89"
"G51043","0.23","1.3 (0.69-2.3)","0.57","0.45"
"G7289","0.16","1.2 (0.49-2.8)","0.13","0.72"
"G10168","-0.27","0.76 (0.22-2.6)","0.19","0.66"
"G6563","-0.42","0.66 (0.51-0.86)","9.4","0.0021"
"G4804","-0.29","0.75 (0.59-0.96)","5.4","0.021"
"G9450","0.3","1.3 (0.88-2.1)","1.9","0.16"
"G2346","0.39","1.5 (0.89-2.5)","2.3","0.13"
"G219595","0.43","1.5 (1-2.3)","4.5","0.034"
"G6689","0.14","1.2 (0.86-1.5)","0.9","0.34"
"G9687","-0.33","0.72 (0.48-1.1)","2.6","0.11"
"G6283","-0.044","0.96 (0.72-1.3)","0.09","0.77"
"G6545","0.44","1.5 (0.94-2.5)","2.9","0.087"
"G1820","-0.42","0.65 (0.26-1.6)","0.81","0.37"
"G8547","-0.12","0.88 (0.73-1.1)","1.4","0.23"
"G5644","0.21","1.2 (1-1.5)","4.8","0.029"
"G624","0.12","1.1 (0.79-1.6)","0.45","0.5"
"G5343","-0.73","0.48 (0.31-0.75)","10","0.0012"
"G9659","-0.35","0.71 (0.32-1.6)","0.72","0.4"
"G3706","0.15","1.2 (1-1.3)","5.1","0.024"
"G3977","-0.55","0.58 (0.36-0.92)","5.4","0.021"
"G23264","0.82","2.3 (1.1-4.9)","4.4","0.035"
"G5463","-0.63","0.53 (0.27-1.1)","3.3","0.07"
"G5979","0.15","1.2 (0.69-2)","0.31","0.58"
"G5587","-0.1","0.9 (0.62-1.3)","0.3","0.58"
"G7625","-0.86","0.42 (0.24-0.74)","9.2","0.0025"
"G7704","-0.54","0.58 (0.45-0.75)","18","2.3e-05"
"G3676","-0.043","0.96 (0.57-1.6)","0.03","0.87"
"G5968","0.14","1.1 (0.88-1.5)","1","0.32"
"G4437","-3.3","0.038 (0.011-0.13)","26","3.5e-07"
"G9832","0.094","1.1 (0.73-1.7)","0.2","0.66"
"G10537","0.4","1.5 (1.2-1.9)","12","0.00057"
"G136","-0.34","0.71 (0.47-1.1)","2.8","0.094"
"G2168","-0.26","0.77 (0.47-1.3)","1.1","0.29"
"G22871","0.12","1.1 (0.84-1.5)","0.65","0.42"
"G415","-0.0074","0.99 (0.81-1.2)","0","0.94"
"G9221","1.4","4 (1.8-9.1)","11","8e-04"
"G6583","0.091","1.1 (0.83-1.4)","0.4","0.53"
"G4776","-0.14","0.87 (0.43-1.8)","0.15","0.7"
