"","beta","HR (95% CI for HR)","wald.test","p.value"
"G83878","-0.96","0.38 (0.091-1.6)","1.7","0.19"
"G151516","-0.015","0.99 (0.22-4.5)","0","0.98"
"G163183","-0.2","0.82 (0.55-1.2)","1","0.31"
"G55609","-0.24","0.79 (0.34-1.8)","0.3","0.58"
"G100134091","-0.79","0.46 (0.2-1)","3.6","0.057"
"G102724923","-0.79","0.46 (0.2-1)","3.6","0.057"
"G692205","0.064","1.1 (0.5-2.3)","0.03","0.87"
"G102723779","-0.062","0.94 (0.36-2.5)","0.02","0.9"
"G284069","-0.33","0.72 (0.13-4.1)","0.14","0.71"
"G164284","0.91","2.5 (1.4-4.5)","8.8","0.0031"
"G150763","0.22","1.2 (0.93-1.7)","2.2","0.13"
"G285382","-0.069","0.93 (0.52-1.7)","0.05","0.81"
"G155054","-0.032","0.97 (0.098-9.6)","0","0.98"
"G199675","-0.11","0.9 (0.66-1.2)","0.43","0.51"
"G155382","0.56","1.8 (0.56-5.5)","0.93","0.33"
"G407040","-0.41","0.67 (0.32-1.4)","1.1","0.29"
"G285033","-0.51","0.6 (0.14-2.5)","0.47","0.49"
"G202781","-0.35","0.71 (0.34-1.5)","0.89","0.34"
"G400966","0.67","2 (0.64-6)","1.4","0.24"
"G729857","0.67","2 (0.64-6)","1.4","0.24"
"G339535","-0.74","0.48 (0.17-1.3)","2","0.16"
"G344595","-0.63","0.53 (0.11-2.6)","0.59","0.44"
"G101928963","-0.43","0.65 (0.23-1.9)","0.62","0.43"
"G91801","-0.67","0.51 (0.15-1.8)","1.1","0.29"
"G256472","0.65","1.9 (0.42-8.7)","0.71","0.4"
"G100507537","-0.001","1 (0.04-25)","0","1"
"G163081","-0.26","0.77 (0.29-2.1)","0.27","0.6"
"G643783","-0.057","0.94 (0.24-3.7)","0.01","0.93"
"G200895","-0.18","0.84 (0.32-2.2)","0.13","0.72"
"G123263","-0.18","0.83 (0.36-1.9)","0.19","0.66"
"G84622","0.054","1.1 (0.076-15)","0","0.97"
"G161253","-0.15","0.86 (0.28-2.7)","0.07","0.79"
"G102723983","-0.32","0.73 (0.33-1.6)","0.6","0.44"
"G152831","-0.52","0.6 (0.23-1.6)","1.1","0.29"
"G283431","0.38","1.5 (0.76-2.8)","1.3","0.26"
"G100506046","-0.6","0.55 (0.13-2.4)","0.64","0.42"
"G399833","-0.85","0.43 (0.042-4.4)","0.51","0.48"
"G6345","0.62","1.9 (0.37-9.3)","0.57","0.45"
"G401262","1.4","4.1 (0.56-30)","1.9","0.17"
"G124961","-0.4","0.67 (0.37-1.2)","1.6","0.2"
"G84874","-0.26","0.77 (0.4-1.5)","0.58","0.45"
"G100287482","-0.21","0.81 (0.55-1.2)","1.1","0.3"
"G85480","0.025","1 (0.61-1.7)","0.01","0.92"
"G100996629","-0.39","0.68 (0.42-1.1)","2.5","0.12"
"G284013","0.56","1.7 (1.1-2.8)","5.3","0.021"
"G84968","-0.46","0.63 (0.32-1.3)","1.7","0.2"
"G101929145","-0.89","0.41 (0.039-4.3)","0.55","0.46"
"G100507022","0.14","1.1 (0.56-2.4)","0.14","0.71"
"G100113407","-0.75","0.47 (0.22-1)","3.8","0.053"
"G132660","-0.86","0.42 (0.09-2)","1.2","0.27"
"G7569","-2.1","0.12 (0.029-0.54)","7.8","0.0054"
"G255919","0.11","1.1 (0.42-2.9)","0.05","0.83"
"G266747","0.26","1.3 (0.42-4)","0.2","0.65"
"G284415","0.99","2.7 (0.63-12)","1.8","0.18"
"G101927330","-0.16","0.85 (0.32-2.2)","0.11","0.74"
"G101928954","-4.5","0.011 (0.00065-0.19)","9.7","0.0018"
"G153768","0.34","1.4 (0.58-3.4)","0.58","0.44"
"G100526820","-1.7","0.19 (0.035-1)","3.7","0.054"
"G84504","0.33","1.4 (0.29-6.7)","0.18","0.67"
"G389058","-0.16","0.85 (0.5-1.4)","0.37","0.54"
"G147040","0.37","1.4 (0.59-3.6)","0.65","0.42"
"G126306","0.048","1 (0.47-2.3)","0.01","0.91"
"G138241","-0.47","0.62 (0.12-3.3)","0.31","0.58"
"G200879","-0.17","0.85 (0.57-1.3)","0.7","0.4"
"G167681","-0.087","0.92 (0.18-4.7)","0.01","0.92"
"G644794","-0.73","0.48 (0.064-3.6)","0.5","0.48"
"G100505666","-0.95","0.39 (0.088-1.7)","1.6","0.21"
"G125170","-0.26","0.77 (0.34-1.8)","0.37","0.54"
"G102723845","0.3","1.3 (0.68-2.7)","0.73","0.39"
"G201305","0.14","1.1 (0.5-2.6)","0.1","0.75"
"G133688","-0.47","0.63 (0.16-2.4)","0.47","0.5"
"G219539","0.17","1.2 (0.39-3.6)","0.09","0.76"
"G124411","-3","0.049 (0.0078-0.31)","10","0.0013"
"G102723721","0.45","1.6 (0.94-2.6)","3","0.086"
"G149650","-2.3","0.097 (0.01-0.91)","4.2","0.041"
"G100505681","-0.071","0.93 (0.19-4.5)","0.01","0.93"
"G221424","0.049","1.1 (0.48-2.3)","0.02","0.9"
"G254559","0.15","1.2 (0.33-4.1)","0.05","0.82"
"G401629","-0.53","0.59 (0.26-1.3)","1.6","0.2"
"G83872","-0.11","0.89 (0.63-1.3)","0.4","0.53"
"G101930067","-0.12","0.88 (0.61-1.3)","0.42","0.52"
"G284716","0.26","1.3 (0.4-4.2)","0.19","0.67"
"G162963","-0.068","0.93 (0.42-2.1)","0.03","0.87"
"G255189","-0.82","0.44 (0.15-1.3)","2.1","0.15"
"G492307","-0.4","0.67 (0.061-7.4)","0.11","0.74"
"G115350","0.5","1.6 (0.34-7.9)","0.39","0.53"
"G283078","0.3","1.4 (0.18-10)","0.09","0.77"
"G161823","-1.3","0.27 (0.039-1.8)","1.8","0.18"
"G119392","-0.78","0.46 (0.19-1.1)","3.2","0.075"
"G283248","0.96","2.6 (1.3-5.2)","7.6","0.0057"
"G100506343","0.57","1.8 (0.5-6.2)","0.8","0.37"
"G284348","-0.48","0.62 (0.15-2.5)","0.45","0.5"
"G170626","-1.9","0.14 (0.018-1.2)","3.3","0.068"
"G100130219","-0.077","0.93 (0.33-2.6)","0.02","0.88"
"G100130175","0.28","1.3 (0.25-7.1)","0.1","0.75"
"G196051","0.28","1.3 (0.99-1.8)","3.7","0.055"
"G340596","0.15","1.2 (0.16-8.2)","0.02","0.88"
"G256329","-0.84","0.43 (0.15-1.2)","2.4","0.12"
"G100128653","0.69","2 (0.39-10)","0.69","0.41"
"G165545","0.03","1 (0.39-2.7)","0","0.95"
"G126695","-0.37","0.69 (0.35-1.3)","1.2","0.28"
"G100130428","0.049","1 (0.12-9.3)","0","0.97"
"G388963","0.31","1.4 (0.32-5.8)","0.18","0.67"
"G494558","0.91","2.5 (0.3-21)","0.71","0.4"
"G101928000","-0.96","0.38 (0.16-0.91)","4.7","0.03"
"G257396","-0.77","0.46 (0.14-1.5)","1.6","0.21"
"G202025","-0.74","0.47 (0.17-1.4)","1.9","0.16"
"G100507670","0.23","1.3 (0.4-4)","0.15","0.7"
"G440603","-0.38","0.68 (0.39-1.2)","1.8","0.17"
"G133690","-0.026","0.97 (0.71-1.3)","0.03","0.87"
"G100130933","-0.59","0.55 (0.27-1.1)","2.8","0.095"
"G100126784","1.2","3.3 (0.66-17)","2.1","0.15"
"G285548","-0.15","0.86 (0.19-4)","0.04","0.85"
"G100128893","-0.27","0.76 (0.34-1.7)","0.43","0.51"
"G6706","0.67","1.9 (0.59-6.4)","1.2","0.27"
"G153546","-0.42","0.65 (0.27-1.6)","0.87","0.35"
"G677819","2.9","18 (3.1-98)","11","0.0012"
"G123688","-0.24","0.79 (0.29-2.1)","0.22","0.64"
"G90737","0.25","1.3 (0.37-4.5)","0.16","0.69"
"G101926887","0.23","1.3 (0.26-6.1)","0.08","0.77"
"G102659288","-0.71","0.49 (0.14-1.8)","1.2","0.28"
"G285147","-1.4","0.23 (0.059-0.93)","4.3","0.039"
"G102723692","0.38","1.5 (0.77-2.8)","1.4","0.25"
"G101929623","-0.3","0.74 (0.34-1.6)","0.6","0.44"
"G162466","0.51","1.7 (0.26-11)","0.29","0.59"
"G124975","-0.12","0.89 (0.64-1.2)","0.51","0.48"
"G151888","-0.038","0.96 (0.34-2.8)","0","0.94"
"G100130744","-0.49","0.61 (0.29-1.3)","1.6","0.21"
"G101928762","-0.9","0.41 (0.11-1.5)","1.9","0.17"
"G161753","-0.22","0.8 (0.32-2)","0.23","0.63"
"G653160","1.9","6.5 (0.94-45)","3.6","0.058"
"G140893","-0.59","0.55 (0.13-2.4)","0.62","0.43"
"G89887","0.75","2.1 (0.76-6)","2.1","0.15"
"G101927085","0.11","1.1 (0.082-15)","0.01","0.93"
"G84626","0.26","1.3 (0.3-5.6)","0.12","0.72"
"G101927420","-0.88","0.42 (0.075-2.3)","1","0.32"
"G646214","0.54","1.7 (0.67-4.3)","1.3","0.26"
"G100506563","-1.3","0.27 (0.048-1.5)","2.2","0.14"
"G197358","-0.038","0.96 (0.61-1.5)","0.03","0.87"
"G100652988","-0.27","0.76 (0.32-1.8)","0.37","0.54"
"G317671","-1.8","0.16 (0.024-1.1)","3.4","0.066"
"G503693","-0.46","0.63 (0.19-2.1)","0.56","0.45"
"G345630","0.28","1.3 (0.37-4.7)","0.19","0.67"
"G149483","-0.14","0.87 (0.52-1.4)","0.29","0.59"
"G100506555","0.079","1.1 (0.11-10)","0","0.94"
"G26974","0.065","1.1 (0.42-2.7)","0.02","0.89"
"G646915","0.065","1.1 (0.42-2.7)","0.02","0.89"
"G221711","-0.5","0.61 (0.1-3.6)","0.3","0.58"
"G100506380","-0.32","0.73 (0.35-1.5)","0.72","0.4"
"G166785","-1.2","0.3 (0.08-1.1)","3.4","0.067"
"G389023","-0.002","1 (0.63-1.6)","0","0.99"
"G245806","-0.52","0.6 (0.087-4.1)","0.27","0.6"
"G101927268","0.092","1.1 (0.66-1.8)","0.13","0.72"
"G6330","-0.23","0.79 (0.55-1.1)","1.5","0.22"
"G440149","-1.4","0.24 (0.052-1.1)","3.4","0.066"
"G121256","0.035","1 (0.57-1.9)","0.01","0.91"
"G130106","-1.3","0.26 (0.042-1.6)","2.1","0.15"
"G100129961","-0.7","0.5 (0.072-3.5)","0.5","0.48"
"G3","0.92","2.5 (0.49-13)","1.2","0.27"
"G101927263","0.29","1.3 (0.7-2.6)","0.78","0.38"
"G100507475","-1.2","0.29 (0.083-0.99)","3.9","0.049"
"G439931","0.01","1 (0.24-4.2)","0","0.99"
"G339416","-0.64","0.53 (0.22-1.3)","2.1","0.15"
"G146456","-0.43","0.65 (0.42-1)","3.9","0.049"
"G100507656","0.43","1.5 (0.32-7.4)","0.28","0.59"
"G101927953","0.28","1.3 (0.82-2.2)","1.3","0.26"
"G90249","1.4","4 (1.5-11)","7.4","0.0067"
"G100996579","-0.7","0.5 (0.21-1.2)","2.7","0.1"
"G161931","-0.19","0.82 (0.2-3.5)","0.07","0.79"
"G285533","0.37","1.4 (0.61-3.4)","0.72","0.4"
"G441310","-0.45","0.63 (0.11-3.6)","0.26","0.61"
"G101928464","0.36","1.4 (0.32-6.5)","0.22","0.64"
"G158801","0.13","1.1 (0.27-4.8)","0.03","0.86"
"G123099","0.41","1.5 (0.84-2.7)","1.9","0.17"
"G729683","0.58","1.8 (0.51-6.3)","0.82","0.36"
"G347744","-0.12","0.88 (0.35-2.2)","0.07","0.8"
"G138255","-0.11","0.9 (0.63-1.3)","0.35","0.56"
"G285556","-0.5","0.61 (0.2-1.9)","0.75","0.39"
"G136853","0.31","1.4 (0.44-4.3)","0.29","0.59"
"G282890","-0.53","0.59 (0.15-2.3)","0.59","0.44"
"G90594","0.32","1.4 (0.48-3.9)","0.36","0.55"
"G343035","1.1","3.1 (0.51-19)","1.5","0.22"
"G167465","-0.2","0.81 (0.12-5.6)","0.04","0.84"
"G406905","0.013","1 (0.022-47)","0","0.99"
"G406922","0.013","1 (0.022-47)","0","0.99"
"G284373","-0.38","0.68 (0.19-2.5)","0.33","0.56"
"G100507524","-0.56","0.57 (0.34-0.96)","4.5","0.034"
"G100506237","-0.71","0.49 (0.29-0.82)","7.4","0.0065"
"G101928178","-0.096","0.91 (0.25-3.3)","0.02","0.89"
"G100131303","0.74","2.1 (0.41-11)","0.79","0.37"
"G101928152","-0.41","0.67 (0.29-1.6)","0.88","0.35"
"G101927479","0.011","1 (0.19-5.5)","0","0.99"
"G100507589","-0.37","0.69 (0.32-1.5)","0.85","0.36"
"G284836","-0.021","0.98 (0.4-2.4)","0","0.96"
"G646576","-0.17","0.84 (0.55-1.3)","0.58","0.44"
"G157773","-1.3","0.27 (0.053-1.4)","2.4","0.12"
"G101926906","-0.14","0.87 (0.11-6.8)","0.02","0.89"
"G100507165","0.53","1.7 (0.78-3.7)","1.8","0.18"
"G285671","-0.78","0.46 (0.11-1.9)","1.1","0.29"
"G120939","-0.17","0.84 (0.4-1.8)","0.2","0.66"
"G149703","1.7","5.7 (0.92-35)","3.5","0.061"
"G100288911","-0.041","0.96 (0.55-1.7)","0.02","0.89"
"G100861523","0.63","1.9 (0.27-13)","0.4","0.53"
"G440956","0.4","1.5 (0.26-8.6)","0.2","0.65"
"G390205","0.2","1.2 (0.86-1.7)","1.3","0.26"
"G101926967","-0.26","0.77 (0.29-2)","0.28","0.59"
"G100507495","-0.83","0.44 (0.082-2.3)","0.94","0.33"
"G148213","0.7","2 (0.35-12)","0.61","0.43"
"G497189","-0.16","0.85 (0.33-2.2)","0.11","0.74"
"G388780","0.33","1.4 (0.52-3.7)","0.43","0.51"
"G84443","-0.65","0.52 (0.11-2.5)","0.65","0.42"
"G146310","0.048","1 (0.22-5.1)","0","0.95"
"G100130155","-0.65","0.52 (0.0084-32)","0.1","0.76"
"G100505826","0.94","2.6 (0.43-15)","1.1","0.3"
"G146395","0.82","2.3 (0.4-13)","0.86","0.35"
"G101929787","-0.15","0.86 (0.39-1.9)","0.14","0.7"
"G129530","-1","0.36 (0.076-1.7)","1.7","0.19"
"G127795","-0.018","0.98 (0.59-1.6)","0","0.94"
"G165186","-0.14","0.87 (0.5-1.5)","0.24","0.62"
"G100129380","-0.15","0.86 (0.11-6.8)","0.02","0.89"
"G83598","1.2","3.3 (0.46-23)","1.4","0.24"
"G114798","0.21","1.2 (0.082-18)","0.02","0.88"
"G401097","-0.18","0.83 (0.47-1.5)","0.37","0.54"
"G389813","0.13","1.1 (0.24-5.3)","0.03","0.87"
"G124093","-0.095","0.91 (0.53-1.6)","0.11","0.73"
"G100507066","-0.78","0.46 (0.052-4.1)","0.49","0.48"
"G255426","-0.51","0.6 (0.1-3.6)","0.31","0.58"
"G389857","0.45","1.6 (0.37-6.7)","0.37","0.54"
"G441495","0.45","1.6 (0.37-6.7)","0.37","0.54"
"G100129407","0.39","1.5 (0.17-13)","0.12","0.72"
"G100132304","0.39","1.5 (0.17-13)","0.12","0.72"
"G375612","-0.93","0.39 (0.047-3.3)","0.74","0.39"
"G389123","-0.077","0.93 (0.19-4.6)","0.01","0.93"
"G100128139","0.22","1.3 (0.12-14)","0.03","0.85"
"G100616668","-4.1","0.017 (0.00055-0.54)","5.3","0.021"
"G134701","0.91","2.5 (0.58-11)","1.5","0.22"
"G101928461","-0.84","0.43 (0.073-2.5)","0.88","0.35"
"G101928173","0.46","1.6 (0.87-2.9)","2.3","0.13"
"G102724323","0.26","1.3 (0.31-5.5)","0.12","0.73"
"G221044","0.87","2.4 (0.43-13)","0.98","0.32"
"G101927060","-1.2","0.29 (0.047-1.7)","1.8","0.18"
"G63946","0.39","1.5 (0.1-21)","0.09","0.77"
"G158248","0.32","1.4 (0.48-3.9)","0.35","0.55"
"G645431","0.31","1.4 (0.48-3.9)","0.33","0.56"
"G115749","-0.0054","0.99 (0.64-1.6)","0","0.98"
"G102724508","0.5","1.7 (0.14-19)","0.16","0.69"
"G147685","-1","0.37 (0.09-1.5)","2","0.16"
"G286151","-0.66","0.52 (0.073-3.7)","0.43","0.51"
"G121793","1.4","4 (0.45-35)","1.5","0.22"
"G284749","1","2.8 (0.48-17)","1.3","0.25"
"G404216","1.5","4.6 (0.92-23)","3.5","0.062"
"G339210","-0.29","0.75 (0.26-2.2)","0.28","0.6"
"G100506840","-7.6","0.00052 (1.5e-06-0.18)","6.4","0.011"
"G100130705","0.4","1.5 (0.4-5.6)","0.35","0.55"
"G341567","0.62","1.9 (0.24-14)","0.36","0.55"
"G93661","1.2","3.5 (0.34-36)","1.1","0.3"
"G129881","-1.6","0.21 (0.017-2.5)","1.6","0.21"
"G100506790","0.27","1.3 (0.22-7.9)","0.09","0.76"
"G441054","-0.7","0.49 (0.12-2)","0.95","0.33"
"G151827","-0.16","0.85 (0.25-2.9)","0.07","0.8"
"G84528","0.15","1.2 (0.5-2.7)","0.13","0.72"
"G727940","0.15","1.2 (0.5-2.7)","0.13","0.72"
"G441242","-0.021","0.98 (0.22-4.4)","0","0.98"
"G645027","-1.4","0.25 (0.076-0.81)","5.3","0.021"
"G401494","-0.64","0.53 (0.17-1.6)","1.2","0.27"
"G101927581","0.14","1.2 (0.079-17)","0.01","0.92"
"G66037","-0.098","0.91 (0.12-7)","0.01","0.93"
"G100506473","-0.43","0.65 (0.15-2.9)","0.32","0.57"
"G143630","-0.24","0.79 (0.2-3.1)","0.12","0.73"
"G645249","-0.34","0.71 (0.35-1.5)","0.88","0.35"
"G196477","-0.26","0.77 (0.11-5.6)","0.07","0.79"
"G84676","-1.4","0.25 (0.059-1)","3.8","0.052"
"G100131662","-0.53","0.59 (0.084-4.1)","0.28","0.59"
"G646588","-0.71","0.49 (0.077-3.1)","0.56","0.45"
"G100141515","0.022","1 (0.6-1.8)","0.01","0.94"
"G102724257","-0.081","0.92 (0.64-1.3)","0.19","0.66"
"G152816","0.86","2.4 (0.22-25)","0.5","0.48"
"G100287814","-0.3","0.74 (0.22-2.5)","0.24","0.62"
"G101928403","-0.53","0.59 (0.087-4)","0.29","0.59"
"G101928069","-0.18","0.84 (0.17-4.2)","0.05","0.83"
"G442075","0.3","1.3 (0.68-2.7)","0.72","0.39"
"G221468","0.48","1.6 (0.43-6.1)","0.5","0.48"
"G102723493","0.62","1.9 (0.22-16)","0.32","0.57"
"G257062","0.045","1 (0.78-1.4)","0.09","0.76"
"G144486","-0.078","0.93 (0.12-7.4)","0.01","0.94"
"G132228","-0.051","0.95 (0.33-2.8)","0.01","0.93"
"G101926903","0.39","1.5 (0.31-6.9)","0.24","0.62"
"G100505975","0.12","1.1 (0.47-2.7)","0.08","0.78"
"G146433","-0.47","0.63 (0.14-2.8)","0.38","0.54"
"G646658","-0.58","0.56 (0.2-1.5)","1.3","0.26"
"G101928571","-1","0.35 (0.034-3.6)","0.78","0.38"
"G387755","-0.077","0.93 (0.27-3.1)","0.02","0.9"
"G84671","-0.16","0.85 (0.25-2.9)","0.06","0.8"
"G101410535","-1.6","0.2 (0.043-0.91)","4.3","0.038"
"G101060091","-0.82","0.44 (0.076-2.6)","0.83","0.36"
"G64433","-0.99","0.37 (0.044-3.1)","0.84","0.36"
"G100506113","-0.72","0.48 (0.095-2.5)","0.75","0.39"
"G140683","0.12","1.1 (0.84-1.5)","0.63","0.43"
"G388942","0.3","1.3 (0.17-10)","0.08","0.78"
"G102725408","-0.11","0.89 (0.1-7.7)","0.01","0.92"
"G646903","0.32","1.4 (0.55-3.4)","0.45","0.5"
"G374454","1.3","3.7 (0.65-21)","2.2","0.14"
"G284485","0.045","1 (0.66-1.7)","0.04","0.85"
"G677766","0.17","1.2 (0.6-2.3)","0.23","0.63"
"G101930114","-0.38","0.69 (0.17-2.8)","0.28","0.6"
"G220047","-2","0.14 (0.0046-4.4)","1.2","0.27"
"G390705","0.26","1.3 (0.18-9.5)","0.06","0.8"
"G341676","-0.56","0.57 (0.19-1.7)","1","0.31"
"G100507384","-1.3","0.28 (0.024-3.2)","1.1","0.3"
"G102723932","-0.26","0.77 (0.17-3.4)","0.12","0.73"
"G653479","-0.64","0.53 (0.013-22)","0.11","0.74"
"G100874362","0.23","1.3 (0.57-2.8)","0.32","0.57"
"G440184","0.55","1.7 (0.076-40)","0.12","0.73"
"G283385","-0.6","0.55 (0.17-1.7)","1","0.31"
"G101928259","-1.8","0.17 (0.017-1.7)","2.3","0.13"
"G123722","1.2","3.2 (0.46-22)","1.4","0.24"
"G100874253","-1.7","0.18 (0.039-0.85)","4.7","0.031"
"G152110","-0.092","0.91 (0.14-5.8)","0.01","0.92"
"G170589","0.13","1.1 (0.29-4.5)","0.03","0.85"
"G731789","-0.3","0.74 (0.066-8.3)","0.06","0.81"
"G100506769","0.25","1.3 (0.15-11)","0.05","0.82"
"G149499","0.26","1.3 (0.54-3.1)","0.35","0.56"
"G100506765","0.17","1.2 (0.052-27)","0.01","0.91"
"G115584","-0.055","0.95 (0.27-3.4)","0.01","0.93"
"G100506115","0.57","1.8 (0.5-6.3)","0.77","0.38"
"G100505978","-1.3","0.26 (0.021-3.3)","1.1","0.3"
"G64735","1.3","3.6 (0.31-41)","1","0.3"
"G254528","1.3","3.6 (0.31-41)","1","0.3"
"G100289509","2.2","9.3 (1.3-69)","4.8","0.029"
"G100506675","-0.12","0.89 (0.048-16)","0.01","0.94"
"G100505710","0.18","1.2 (0.48-3)","0.15","0.7"
"G154872","-0.26","0.77 (0.09-6.6)","0.06","0.81"
"G100506907","0.2","1.2 (0.085-18)","0.02","0.88"
"G157855","1.7","5.4 (0.39-74)","1.6","0.21"
"G100505547","-0.18","0.84 (0.19-3.6)","0.05","0.81"
"G202500","-0.17","0.84 (0.14-5.1)","0.03","0.85"
"G158798","-0.62","0.54 (0.14-2)","0.83","0.36"
"G165721","-1.2","0.31 (0.052-1.8)","1.7","0.2"
"G116179","-0.86","0.42 (0.029-6.1)","0.4","0.53"
"G344405","-1.6","0.21 (0.057-0.79)","5.3","0.021"
"G400710","-3","0.049 (0.0031-0.77)","4.6","0.032"
"G256126","0.044","1 (0.24-4.5)","0","0.95"
"G374899","-1.7","0.18 (0.0093-3.6)","1.2","0.27"
"G100506272","-0.42","0.66 (0.082-5.3)","0.16","0.69"
"G100507410","0.72","2.1 (0.28-15)","0.51","0.47"
"G219670","-0.24","0.79 (0.19-3.3)","0.11","0.74"
"G339779","1.8","6 (0.47-76)","1.9","0.17"
"G346653","-0.073","0.93 (0.2-4.3)","0.01","0.92"
"G114036","0.015","1 (0.21-5)","0","0.98"
"G100873979","-0.38","0.68 (0.14-3.3)","0.22","0.64"
"G22917","-0.15","0.86 (0.2-3.7)","0.04","0.84"
"G374907","-0.39","0.67 (0.44-1)","3.1","0.076"
"G101929520","1.1","3 (0.38-24)","1.1","0.3"
"G116369","-0.54","0.58 (0.079-4.3)","0.28","0.59"
"G100505964","-0.33","0.72 (0.11-4.8)","0.12","0.73"
"G100505474","0.98","2.7 (0.44-16)","1.2","0.28"
"G143941","-0.67","0.51 (0.1-2.6)","0.65","0.42"
"G284825","1.1","2.9 (0.59-14)","1.7","0.19"
"G100287366","1.1","3 (0.23-40)","0.71","0.4"
"G140625","1.3","3.6 (0.49-27)","1.6","0.21"
"G101927599","-1.2","0.32 (0.074-1.3)","2.4","0.12"
"G100506409","0.17","1.2 (0.1-14)","0.02","0.89"
"G102724614","-0.37","0.69 (0.21-2.3)","0.36","0.55"
"G339883","-0.69","0.5 (0.073-3.4)","0.5","0.48"
"G389761","0.37","1.4 (0.32-6.5)","0.24","0.63"
"G389762","0.37","1.4 (0.32-6.5)","0.24","0.63"
"G389763","0.37","1.4 (0.32-6.5)","0.24","0.63"
"G101928035","-0.42","0.66 (0.04-11)","0.09","0.77"
"G100506126","0.17","1.2 (0.14-10)","0.02","0.88"
"G283480","1.9","6.4 (0.37-110)","1.6","0.2"
"G100507050","0.78","2.2 (0.78-6.1)","2.2","0.14"
"G199974","-2.4","0.095 (0.011-0.86)","4.4","0.036"
"G343637","0.05","1.1 (0.51-2.2)","0.02","0.89"
"G100505890","1","2.7 (0.38-20)","0.99","0.32"
"G389320","1.8","6.2 (0.58-67)","2.3","0.13"
"G100506882","-0.63","0.53 (0.14-2)","0.85","0.36"
"G345222","-1.7","0.18 (0.044-0.73)","5.7","0.017"
"G124739","-0.11","0.9 (0.35-2.3)","0.05","0.83"
"G646023","1","2.8 (0.3-26)","0.8","0.37"
"G221833","0.26","1.3 (0.51-3.3)","0.29","0.59"
"G389332","0.11","1.1 (0.25-5)","0.02","0.89"
"G283551","0.072","1.1 (0.13-9.1)","0","0.95"
"G199713","-0.081","0.92 (0.45-1.9)","0.05","0.82"
"G161882","-0.13","0.88 (0.18-4.4)","0.03","0.87"
"G100129792","1.3","3.6 (0.59-22)","1.9","0.17"
"G132954","-1.4","0.25 (0.0067-9.3)","0.56","0.45"
"G440087","-0.076","0.93 (0.41-2.1)","0.03","0.86"
"G102724938","0.54","1.7 (0.14-22)","0.18","0.67"
"G116379","-0.61","0.54 (0.17-1.7)","1.1","0.3"
"G160728","-0.1","0.91 (0.18-4.5)","0.01","0.9"
"G100874014","0.37","1.4 (0.27-7.7)","0.18","0.67"
"G136541","0.016","1 (0.24-4.3)","0","0.98"
"G100302740","0.38","1.5 (0.17-12)","0.12","0.73"
"G100507143","-0.97","0.38 (0.034-4.3)","0.61","0.43"
"G101954204","-1.6","0.2 (0.0064-6.6)","0.8","0.37"
"G100506286","1.1","3 (0.31-30)","0.9","0.34"
"G100505817","0.73","2.1 (0.21-20)","0.39","0.53"
"G101927093","-0.072","0.93 (0.28-3.1)","0.01","0.91"
"G153918","-0.073","0.93 (0.18-4.8)","0.01","0.93"
"G653677","0.33","1.4 (0.27-7.2)","0.16","0.69"
"G100507277","0.67","2 (0.34-12)","0.56","0.45"
"G200159","0.69","2 (0.26-15)","0.45","0.5"
"G101929570","0.18","1.2 (0.042-34)","0.01","0.92"
"G101929512","-0.21","0.81 (0.11-5.8)","0.04","0.83"
"G101927980","-0.67","0.51 (0.075-3.5)","0.46","0.5"
"G283150","0.54","1.7 (0.23-13)","0.28","0.6"
"G284451","1.5","4.4 (0.8-25)","2.9","0.089"
"G101928869","0.2","1.2 (0.14-11)","0.03","0.86"
"G100128164","0.41","1.5 (0.25-9.2)","0.2","0.66"
"G131920","0.088","1.1 (0.14-8.6)","0.01","0.93"
"G221718","3.9","52 (1-2500)","3.9","0.048"
"G145376","0.33","1.4 (0.75-2.6)","1.1","0.3"
"G100507201","-2.5","0.082 (0.0023-3)","1.9","0.17"
"G284801","-0.39","0.68 (0.16-2.9)","0.28","0.6"
"G101929120","-0.14","0.87 (0.069-11)","0.01","0.91"
"G102723542","0.45","1.6 (0.77-3.2)","1.5","0.22"
"G100507461","-1.1","0.33 (0.023-4.7)","0.67","0.41"
"G101929926","-0.22","0.81 (0.15-4.3)","0.06","0.8"
"G283737","-0.62","0.54 (0.077-3.7)","0.4","0.53"
"G100507040","-0.57","0.56 (0.049-6.5)","0.21","0.65"
"G121273","0.16","1.2 (0.61-2.2)","0.23","0.63"
"G100507513","-0.54","0.58 (0.096-3.5)","0.35","0.55"
"G100131980","0.48","1.6 (0.13-20)","0.14","0.71"
"G100507562","0.3","1.3 (0.14-13)","0.07","0.8"
"G401190","0.028","1 (0.58-1.8)","0.01","0.92"
"G100505676","-3.6","0.028 (0.00066-1.2)","3.4","0.064"
"G100130700","-1","0.36 (0.046-2.9)","0.93","0.34"
"G154092","1.5","4.6 (1-21)","3.9","0.049"
"G574414","1.5","4.7 (0.44-49)","1.6","0.2"
"G101059949","-0.19","0.83 (0.44-1.6)","0.35","0.55"
"G101060632","-0.19","0.83 (0.44-1.6)","0.35","0.55"
"G101927345","-0.19","0.83 (0.44-1.6)","0.35","0.55"
"G101929341","-2","0.14 (0.0025-8.1)","0.89","0.34"
"G103344929","0.5","1.6 (0.36-7.4)","0.42","0.52"
"G284402","1.4","4.2 (0.55-32)","1.9","0.16"
